"","calendar_date","day_of_week","holiday_flg"
"1","2016-01-01","Friday",1
"2","2016-01-02","Saturday",1
"3","2016-01-03","Sunday",1
"4","2016-01-04","Monday",0
"5","2016-01-05","Tuesday",0
"6","2016-01-06","Wednesday",0
"7","2016-01-07","Thursday",0
"8","2016-01-08","Friday",0
"9","2016-01-09","Saturday",0
"10","2016-01-10","Sunday",0
"11","2016-01-11","Monday",1
"12","2016-01-12","Tuesday",0
"13","2016-01-13","Wednesday",0
"14","2016-01-14","Thursday",0
"15","2016-01-15","Friday",0
"16","2016-01-16","Saturday",0
"17","2016-01-17","Sunday",0
"18","2016-01-18","Monday",0
"19","2016-01-19","Tuesday",0
"20","2016-01-20","Wednesday",0
"21","2016-01-21","Thursday",0
"22","2016-01-22","Friday",0
"23","2016-01-23","Saturday",0
"24","2016-01-24","Sunday",0
"25","2016-01-25","Monday",0
"26","2016-01-26","Tuesday",0
"27","2016-01-27","Wednesday",0
"28","2016-01-28","Thursday",0
"29","2016-01-29","Friday",0
"30","2016-01-30","Saturday",0
"31","2016-01-31","Sunday",0
"32","2016-02-01","Monday",0
"33","2016-02-02","Tuesday",0
"34","2016-02-03","Wednesday",0
"35","2016-02-04","Thursday",0
"36","2016-02-05","Friday",0
"37","2016-02-06","Saturday",0
"38","2016-02-07","Sunday",0
"39","2016-02-08","Monday",0
"40","2016-02-09","Tuesday",0
"41","2016-02-10","Wednesday",0
"42","2016-02-11","Thursday",1
"43","2016-02-12","Friday",0
"44","2016-02-13","Saturday",0
"45","2016-02-14","Sunday",0
"46","2016-02-15","Monday",0
"47","2016-02-16","Tuesday",0
"48","2016-02-17","Wednesday",0
"49","2016-02-18","Thursday",0
"50","2016-02-19","Friday",0
"51","2016-02-20","Saturday",0
"52","2016-02-21","Sunday",0
"53","2016-02-22","Monday",0
"54","2016-02-23","Tuesday",0
"55","2016-02-24","Wednesday",0
"56","2016-02-25","Thursday",0
"57","2016-02-26","Friday",0
"58","2016-02-27","Saturday",0
"59","2016-02-28","Sunday",0
"60","2016-02-29","Monday",0
"61","2016-03-01","Tuesday",0
"62","2016-03-02","Wednesday",0
"63","2016-03-03","Thursday",0
"64","2016-03-04","Friday",0
"65","2016-03-05","Saturday",0
"66","2016-03-06","Sunday",0
"67","2016-03-07","Monday",0
